skill,allowed_actions,forbidden_actions,inputs,outputs,evidence
contract-to-skills,"Convert monolithic agent contracts into bounded skill package specifications","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
execution-trigger-guard,"Decide whether a request authorizes specification-only planning or actual file creation","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
model-reality-boundary,"Separate assistant claims from persisted tool evidence and reject fake PASS states","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
role-permission-guard,"Enforce planner, executor, verifier, evaluator, memory, escalation, and release role permissions","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
state-gate-controller,"Control deterministic state transitions using persisted evidence and reject unsupported PASS transitions","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
artifact-manifest-governor,"Specify artifact manifest records for evidence-bearing outputs","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
verifier-protocol,"Verify artifacts against structural requirements while rejecting prose-only explanations as evidence","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
evaluator-protocol,"Evaluate only verifier-approved evidence against contract criteria","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
memory-manager,"Record verified package state, in-progress work, blockers, next actions, and known failure patterns","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
escalation-manager,"Escalate missing evidence, repeated failure, unavailable tools, invalid state transitions, and authorization gaps","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
idempotency-checkpointing,"Require idempotency keys and checkpoint records for side effects, artifact writes, tool calls, and state transitions","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
release-gate,"Block final completion claims until verifier PASS, evaluator PASS, required evidence, and zero unresolved escalations are recorded. Use before final handoff or release statements.","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
skill-lifecycle-governance,"Govern skill create, review, test, approve, version, deprecate, rollback, and retire states","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
codex-conflict-safe-build,"Constrain Codex-style agents to build only inside isolated package paths unless root mutation is explicitly authorized","root mutation; deployment; destructive commands; self-completion","contract request; package artifacts","bounded skill artifact","persisted path; owner; status"
